40.7128, -74.0060
34.0522, -118.2437
41.8781, -87.6298
51.5074, -0.1278
48.8566, 2.3522
55.7558, 37.6176
35.6895, 139.6917
52.5200, 13.4050
40.4168, -3.7038
37.7749, -122.4194
55.6761, 12.5683
19.4326, -99.1332
45.5089, -73.5617
-33.8688, 151.2093
-22.9068, -43.1729
48.8566, 2.3522
38.9072, -77.0370
51.5074, -0.1278
40.7128, -74.0060
34.0522, -118.2437
41.8781, -87.6298
55.7558, 37.6176
35.6895, 139.6917
52.5200, 13.4050
40.4168, -3.7038
37.7749, -122.4194
55.6761, 12.5683
19.4326, -99.1332
45.5089, -73.5617
-33.8688, 151.2093
-22.9068, -43.1729
48.8566, 2.3522
38.9072, -77.0370
51.5074, -0.1278
40.7128, -74.0060
34.0522, -118.2437
41.8781, -87.6298
55.7558, 37.6176
35.6895, 139.6917
52.5200, 13.4050
40.4168, -3.7038
37.7749, -122.4194
55.6761, 12.5683
19.4326, -99.1332
45.5089, -73.5617
-33.8688, 151.2093
-22.9068, -43.1729
48.8566, 2.3522
38.9072, -77.0370
51.5074, -0.1278
